ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,PromotionKey,CurrencyKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,RevisionNumber,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight,CarrierTrackingNumber,CustomerPONumber,OrderDate,DueDate,ShipDate
310,20050701,20050713,20050708,21768,1,19,6,SO43697,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,1 Jul 05,13 Jul 05,8 Jul 05
346,20050701,20050713,20050708,28389,1,39,7,SO43698,1,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,,,1 Jul 05,13 Jul 05,8 Jul 05
346,20050701,20050713,20050708,25863,1,100,1,SO43699,1,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,,,1 Jul 05,13 Jul 05,8 Jul 05
336,20050701,20050713,20050708,14501,1,100,4,SO43700,1,1,1,699.0982,699.0982,0,0,413.1463,413.1463,699.0982,55.9279,17.4775,,,1 Jul 05,13 Jul 05,8 Jul 05
346,20050701,20050713,20050708,11003,1,6,9,SO43701,1,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,,,1 Jul 05,13 Jul 05,8 Jul 05
311,20050702,20050714,20050709,27645,1,100,4,SO43702,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2 Jul 05,14 Jul 05,9 Jul 05
310,20050702,20050714,20050709,16624,1,6,9,SO43703,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,2 Jul 05,14 Jul 05,9 Jul 05
351,20050702,20050714,20050709,11005,1,6,9,SO43704,1,1,1,3374.99,3374.99,0,0,1898.0944,1898.0944,3374.99,269.9992,84.3748,,,2 Jul 05,14 Jul 05,9 Jul 05
344,20050702,20050714,20050709,11011,1,6,9,SO43705,1,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,,,2 Jul 05,14 Jul 05,9 Jul 05
312,20050703,20050715,20050710,27621,1,100,4,SO43706,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,3 Jul 05,15 Jul 05,10 Jul 05
312,20050703,20050715,20050710,27616,1,100,4,SO43707,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,3 Jul 05,15 Jul 05,10 Jul 05
330,20050703,20050715,20050710,20042,1,98,10,SO43708,1,1,1,699.0982,699.0982,0,0,413.1463,413.1463,699.0982,55.9279,17.4775,,,3 Jul 05,15 Jul 05,10 Jul 05
313,20050703,20050715,20050710,16351,1,6,9,SO43709,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,3 Jul 05,15 Jul 05,10 Jul 05
314,20050703,20050715,20050710,16517,1,6,9,SO43710,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,3 Jul 05,15 Jul 05,10 Jul 05
314,20050704,20050716,20050711,27606,1,100,1,SO43711,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,4 Jul 05,16 Jul 05,11 Jul 05
311,20050704,20050716,20050711,13513,1,29,8,SO43712,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,4 Jul 05,16 Jul 05,11 Jul 05
310,20050705,20050717,20050712,27601,1,100,4,SO43713,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,5 Jul 05,17 Jul 05,12 Jul 05
311,20050705,20050717,20050712,13591,1,98,10,SO43714,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,5 Jul 05,17 Jul 05,12 Jul 05
314,20050705,20050717,20050712,16483,1,6,9,SO43715,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,5 Jul 05,17 Jul 05,12 Jul 05
311,20050705,20050717,20050712,16529,1,6,9,SO43716,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,5 Jul 05,17 Jul 05,12 Jul 05
336,20050705,20050717,20050712,25249,1,6,9,SO43717,1,1,1,699.0982,699.0982,0,0,413.1463,413.1463,699.0982,55.9279,17.4775,,,5 Jul 05,17 Jul 05,12 Jul 05
311,20050706,20050718,20050713,27668,1,100,1,SO43718,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,6 Jul 05,18 Jul 05,13 Jul 05
312,20050706,20050718,20050713,27612,1,100,4,SO43719,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,6 Jul 05,18 Jul 05,13 Jul 05
311,20050706,20050718,20050713,13264,1,29,8,SO43720,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,6 Jul 05,18 Jul 05,13 Jul 05
310,20050706,20050718,20050713,13590,1,98,10,SO43721,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,6 Jul 05,18 Jul 05,13 Jul 05
312,20050707,20050719,20050714,13581,1,98,10,SO43722,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,7 Jul 05,19 Jul 05,14 Jul 05
332,20050707,20050719,20050714,14520,1,100,1,SO43723,1,1,1,699.0982,699.0982,0,0,413.1463,413.1463,699.0982,55.9279,17.4775,,,7 Jul 05,19 Jul 05,14 Jul 05
311,20050707,20050719,20050714,16520,1,6,9,SO43724,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,7 Jul 05,19 Jul 05,14 Jul 05
311,20050708,20050720,20050715,13258,1,29,8,SO43725,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,8 Jul 05,20 Jul 05,15 Jul 05
332,20050708,20050720,20050715,14560,1,100,4,SO43726,1,1,1,699.0982,699.0982,0,0,413.1463,413.1463,699.0982,55.9279,17.4775,,,8 Jul 05,20 Jul 05,15 Jul 05
311,20050708,20050720,20050715,16607,1,6,9,SO43727,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,8 Jul 05,20 Jul 05,15 Jul 05
313,20050709,20050721,20050716,27666,1,100,4,SO43728,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,9 Jul 05,21 Jul 05,16 Jul 05
346,20050709,20050721,20050716,11238,1,98,10,SO43729,1,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,,,9 Jul 05,21 Jul 05,16 Jul 05
346,20050709,20050721,20050716,25861,1,100,4,SO43730,1,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,,,9 Jul 05,21 Jul 05,16 Jul 05
314,20050709,20050721,20050716,16629,1,6,9,SO43731,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,9 Jul 05,21 Jul 05,16 Jul 05
350,20050709,20050721,20050716,11025,1,6,9,SO43732,1,1,1,3374.99,3374.99,0,0,1898.0944,1898.0944,3374.99,269.9992,84.3748,,,9 Jul 05,21 Jul 05,16 Jul 05
312,20050709,20050721,20050716,27577,1,100,1,SO43733,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,9 Jul 05,21 Jul 05,16 Jul 05
312,20050710,20050722,20050717,27604,1,100,1,SO43734,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,10 Jul 05,22 Jul 05,17 Jul 05
310,20050710,20050722,20050717,16522,1,6,9,SO43735,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,10 Jul 05,22 Jul 05,17 Jul 05
346,20050710,20050722,20050717,11002,1,6,9,SO43736,1,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,,,10 Jul 05,22 Jul 05,17 Jul 05
311,20050711,20050723,20050718,13261,1,29,8,SO43737,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,11 Jul 05,23 Jul 05,18 Jul 05
312,20050711,20050723,20050718,11606,1,39,7,SO43738,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,11 Jul 05,23 Jul 05,18 Jul 05
310,20050711,20050723,20050718,13563,1,98,10,SO43739,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,11 Jul 05,23 Jul 05,18 Jul 05
312,20050711,20050723,20050718,16527,1,6,9,SO43740,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,11 Jul 05,23 Jul 05,18 Jul 05
310,20050712,20050724,20050719,27671,1,100,1,SO43741,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,12 Jul 05,24 Jul 05,19 Jul 05
314,20050712,20050724,20050719,13576,1,98,10,SO43742,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,12 Jul 05,24 Jul 05,19 Jul 05
347,20050712,20050724,20050719,11007,1,6,9,SO43743,1,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,,,12 Jul 05,24 Jul 05,19 Jul 05
313,20050712,20050724,20050719,16631,1,6,9,SO43744,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,12 Jul 05,24 Jul 05,19 Jul 05
311,20050713,20050725,20050720,16514,1,6,9,SO43745,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,13 Jul 05,25 Jul 05,20 Jul 05
312,20050713,20050725,20050720,16616,1,6,9,SO43746,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,13 Jul 05,25 Jul 05,20 Jul 05
314,20050714,20050726,20050721,27623,1,100,4,SO43747,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,14 Jul 05,26 Jul 05,21 Jul 05
313,20050714,20050726,20050721,27625,1,100,1,SO43748,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,14 Jul 05,26 Jul 05,21 Jul 05
314,20050714,20050726,20050721,27636,1,100,1,SO43749,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,14 Jul 05,26 Jul 05,21 Jul 05
311,20050714,20050726,20050721,11591,1,39,7,SO43750,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,14 Jul 05,26 Jul 05,21 Jul 05
313,20050714,20050726,20050721,11592,1,39,7,SO43751,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,14 Jul 05,26 Jul 05,21 Jul 05
311,20050714,20050726,20050721,13265,1,29,8,SO43752,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,14 Jul 05,26 Jul 05,21 Jul 05
310,20050714,20050726,20050721,16482,1,6,9,SO43753,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,14 Jul 05,26 Jul 05,21 Jul 05
312,20050715,20050727,20050722,27617,1,100,1,SO43754,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,15 Jul 05,27 Jul 05,22 Jul 05
311,20050715,20050727,20050722,27670,1,100,4,SO43755,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,15 Jul 05,27 Jul 05,22 Jul 05
332,20050715,20050727,20050722,19941,1,98,10,SO43756,1,1,1,699.0982,699.0982,0,0,413.1463,413.1463,699.0982,55.9279,17.4775,,,15 Jul 05,27 Jul 05,22 Jul 05
350,20050715,20050727,20050722,11017,1,6,9,SO43757,1,1,1,3374.99,3374.99,0,0,1898.0944,1898.0944,3374.99,269.9992,84.3748,,,15 Jul 05,27 Jul 05,22 Jul 05
310,20050716,20050728,20050723,27646,1,100,4,SO43758,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,16 Jul 05,28 Jul 05,23 Jul 05
310,20050716,20050728,20050723,13257,1,29,8,SO43759,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,16 Jul 05,28 Jul 05,23 Jul 05
314,20050716,20050728,20050723,16352,1,6,9,SO43760,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,,,16 Jul 05,28 Jul 05,23 Jul 05
